periodname,periodid,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cycle Beads,DMPA-IM,DMPA-SC,Hormonal IUCD,Non-Hormonal IUCD,Implanon,Male Condoms,Female Condoms,EC Pills,COCs,POPs,Type
2020-01-31,9494047,9494047,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,184.0,0.0,4.0,8.0,1.0,55054.0,2472.0,6442.0,57848.0,15804.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-02-29,9494094,9494094,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,165.0,0.0,0.0,32.0,12.0,60936.0,3053.0,5778.0,54084.0,16177.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-03-31,9494141,9494141,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,109.0,0.0,0.0,6.0,12.0,60471.0,3120.0,6160.0,56010.0,15996.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-04-30,9494188,9494188,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,51.0,0.0,0.0,5.0,55.0,51166.0,2487.0,6395.0,52905.0,16156.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-05-31,9494235,9494235,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,43.0,0.0,0.0,0.0,0.0,50574.0,2568.0,6717.0,55125.0,18078.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-06-30,9494282,9494282,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,42.0,0.0,0.0,0.0,6.0,72899.0,1909.0,6498.0,59091.0,19396.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-07-31,9494329,9494329,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,1050.0,0.0,18.0,49.0,21.0,64889.0,4343.0,7919.0,63646.0,22509.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-08-31,9494376,9494376,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,3781.0,32.0,7.0,350.0,767.0,64732.0,4772.0,7931.0,63267.5,20508.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-09-30,9494423,9494423,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,0.0,4859.0,274.0,66.0,275.0,987.0,64014.0,3288.0,6674.0,63916.0,21970.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
2020-10-31,9494470,9494470,0.0,vvOK1BxTbetHMNARUV2CW4KGHhQ5GLd4kTvf1zgVZ0K4MqnLxQBigG0PFu8alU2KWGuyOrcHZBpW0nK0A12Q7MvSbzOfj0iwfDHHsk1YV8kHkTBjC1xL40gHoihZsJ8alvtbqKzosKQPl6GnrI2khZx3d0Ulj33KBau7Vo36zCRjSd4GptWVfaCIdVxuepLTG8wGWJkqJ83J2D72st0J75eHKxz5mYZacFNIB3hob6SxuRcqU4jkG3zaihdSsahwTMNAJvrLwsBsC6gjHvnfVra3Pwta0QY52XNJ50hYbEey8fT4Im3yR6f9znhg37cBoDytkJQ4QiyhCUgGcCcOou4t9H8XyU9PQyGNX2DpR4hJsH2bnvNt2dT4urHM47nlmmThvosEflAUkphDeKClFchpZqQRRW7PHPsANMZ3lpqGsCeLsrJOH0g9XWALbfAPa6nsPkRcDvhGWAtAbBVBbueqDj8o6iO4NjsiN7YETT3A9r1xuFdFy6t9AHNjWSbQTwys4,Baringo CountyBomet CountyBungoma CountyBusia CountyElgeyo Marakwet CountyEmbu CountyGarissa CountyHoma Bay CountyIsiolo CountyKajiado CountyKakamega CountyKericho CountyKiambu CountyKilifi CountyKirinyaga CountySamburu CountyNyeri CountyNyamira CountyNarok CountyNandi CountyNyandarua CountyNakuru CountyNairobi CountyMuranga CountyMombasa CountyMigori CountyMeru CountyMarsabit CountyMandera CountyMakueni CountyMachakos CountySiaya CountyTaita Taveta CountyTana River CountyTharaka Nithi CountyTrans Nzoia CountyTurkana CountyUasin Gishu CountyVihiga CountyWajir CountyWest Pokot CountyKisii CountyKisumu CountyKitui CountyKwale CountyLaikipia CountyLamu County,KE_County_30KE_County_36KE_County_39KE_County_40KE_County_28KE_County_14KE_County_7KE_County_43KE_County_11KE_County_34KE_County_37KE_County_35KE_County_22KE_County_3KE_County_20KE_County_25KE_County_19KE_County_46KE_County_33KE_County_29KE_County_18KE_County_32KE_County_47KE_County_21KE_County_1KE_County_44KE_County_12KE_County_10KE_County_9KE_County_17KE_County_16KE_County_41KE_County_6KE_County_4KE_County_13KE_County_26KE_County_23KE_County_27KE_County_38KE_County_8KE_County_24KE_County_45KE_County_42KE_County_15KE_County_2KE_County_31KE_County_5,0.0,836.0,232860.0,12396.0,3296.0,5944.0,31772.0,62270.0,7224.0,7843.0,55887.0,22795.0,ServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceServiceService
